AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-09-27,1.0,Kingsford Smith,12,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-03,1.0,Kingsford Smith,50,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-03,1.0,Kingsford Smith,46,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-14,1.0,Kingsford Smith,26,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-29,1.0,Kingsford Smith,21,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-26,1.0,Kingsford Smith,76,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-31,1.0,Kingsford Smith,51,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-16,1.0,Kingsford Smith,92,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-15,1.0,Kingsford Smith,52,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-18,1.0,Kingsford Smith,97,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-20,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-03,1.0,Kingsford Smith,64,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-07,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-18,1.0,Kingsford Smith,36,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-07,1.0,Kingsford Smith,64,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-10,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-20,1.0,Kingsford Smith,60,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-26,1.0,Kingsford Smith,53,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-30,1.0,Kingsford Smith,22,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-08,1.0,Kingsford Smith,12,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-13,1.0,Kingsford Smith,56,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-10,1.0,Kingsford Smith,54,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-14,1.0,Kingsford Smith,58,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-23,1.0,Kingsford Smith,17,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-27,1.0,Kingsford Smith,17,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-09,1.0,Kingsford Smith,54,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-15,1.0,Kingsford Smith,58,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-24,1.0,Kingsford Smith,35,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-18,1.0,Kingsford Smith,32,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-12,1.0,Kingsford Smith,22,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-03,1.0,Kingsford Smith,15,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
